Date,TAM,TAN,TA1,POM,PON,POX,PRM,PRN,PRX,RR,SA,SD,SLAG
01/01/2000,5.7,3.7,7.1,1004.7,1001.1,1006.6,1010.9,1007.2,1012.8,-1.0,0.0,-1.0,-1.0
02/01/2000,6.2,4.2,7.8,1001.1,997.7,1005.0,1007.2,1003.8,1011.2,-1.0,0.0,-1.0,-1.0
03/01/2000,6.2,3.2,8.6,989.0,987.5,991.9,995.0,993.5,998.0,-1.0,0.0,-1.0,0.0
04/01/2000,4.3,2.6,7.1,993.7,992.1,996.1,999.9,998.2,1002.3,-1.0,0.0,-1.0,0.0
05/01/2000,4.8,2.7,5.7,993.0,990.6,994.8,999.1,996.7,1000.9,-1.0,0.0,-1.0,1.0
06/01/2000,6.2,2.5,8.6,984.2,979.9,991.0,990.2,985.9,997.1,-1.0,0.0,-1.0,0.0
07/01/2000,5.8,1.2,7.5,988.8,983.9,993.6,994.9,989.9,999.7,-1.0,0.0,-1.0,1.0
08/01/2000,5.9,4.1,8.3,984.9,981.6,989.5,991.0,987.6,995.6,-1.0,0.0,-1.0,-1.0
09/01/2000,4.8,2.6,6.9,1003.8,997.6,1010.1,1010.0,1003.8,1016.4,-1.0,0.0,-1.0,0.0
10/01/2000,5.3,1.2,6.8,1011.2,1007.0,1015.0,1017.4,1013.2,1021.3,-1.0,0.0,-1.0,0.0
11/01/2000,6.3,3.8,7.3,1010.3,1008.0,1012.0,1016.6,1014.3,1018.2,-1.0,0.0,-1.0,-1.0
12/01/2000,4.4,3.2,6.6,1002.9,1000.6,1004.5,1009.1,1006.8,1010.7,-1.0,0.0,-1.0,-1.0
13/01/2000,1.2,0.3,4.0,1008.6,1006.0,1011.0,1014.9,1012.3,1017.3,-1.0,0.0,-1.0,0.0
14/01/2000,-1.1,-2.7,1.4,1021.4,1018.3,1024.4,1027.8,1024.7,1030.9,-1.0,0.0,-1.0,-1.0
15/01/2000,0.0,-5.1,1.5,1025.4,1024.0,1026.6,1031.8,1030.4,1033.1,-1.0,0.0,-1.0,-1.0
16/01/2000,5.6,1.2,7.5,1018.8,1016.6,1021.7,1025.0,1022.8,1028.0,-1.0,0.0,-1.0,1.0
17/01/2000,6.3,5.8,7.5,1013.7,1013.7,1013.7,1019.9,1019.9,1020.0,-1.0,0.0,-1.0,-1.0
18/01/2000,2.4,1.8,5.9,1018.0,1014.8,1020.6,1024.4,1021.1,1027.0,-1.0,0.0,-1.0,-1.0
19/01/2000,2.8,0.6,5.9,1021.0,1019.6,1022.0,1027.4,1025.9,1028.4,-1.0,0.0,-1.0,1.0
20/01/2000,4.2,2.7,6.3,1010.1,1009.5,1010.6,1016.4,1015.8,1016.9,-1.0,0.0,-1.0,1.0
21/01/2000,-0.2,-1.0,2.9,1013.4,1009.9,1016.6,1019.8,1016.3,1023.0,-1.0,0.0,-1.0,1.0
22/01/2000,0.3,-1.6,2.0,1002.9,997.5,1007.2,1009.2,1003.7,1013.6,-1.0,0.0,-1.0,1.0
23/01/2000,-2.0,-4.6,-0.1,1014.6,1013.9,1015.3,1021.0,1020.3,1021.7,-1.0,0.0,-1.0,-1.0
24/01/2000,0.2,-2.5,1.5,1014.4,1013.2,1015.3,1020.7,1019.5,1021.7,-1.0,0.0,-1.0,1.0
25/01/2000,0.8,-3.0,2.4,1016.7,1016.7,1016.7,1023.1,1023.1,1023.1,-1.0,0.0,-1.0,1.0
26/01/2000,2.8,-0.4,4.6,1013.1,1012.6,1013.7,1019.4,1018.9,1020.0,-1.0,0.0,-1.0,-1.0
